"Title:"                             	"Description:"                                                                                                                                                                                                                       	"ReleaseYear:"	"Genre:"               	"Platform:"

"GOD OF WAR"                         	"His vengeance against the gods of Olympus far behind him, Kratos now lives as a man in the lands of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same."	"2018-04-20"  	"Action Adventure"     	"PS4"
"Injustice 2"                        	"Injustice 2 is a worthy sequel to Injustice Gods Among Us. With improved graphics, a great story and even more features to keep you busy. Injustice 2 is highly recommended and excels as a fighting game."                         	"2018-03-27"  	"Action"               	"PS4"
"DARK SOULS REMASTERED"              	"Embark upon an epic dark fantasy in a universe stricken by decline and the Curse. Explore its intricate world design - full of hidden passages, dungeons and secrets - and uncover its deeply rooted lore."                         	"2018-03-25"  	"Action RPG"           	"PS4"
"BATMAN: THE ENEMY WITHIN"           	"Same Stitch is the fifth and final episode of Batman: The Enemy Within. The episode will follow Batman as he confronts either Amanda Waller and the Agency or a menace he has helped create."                                       	"2018-03-26"  	"Adventure"            	"PC"
"FROSTPUNK"                          	"In a completely frozen world, people develop steam-powered technology to oppose the overwhelming cold. Society in its current form becomes ineffective and it has to change in order to survive."                                   	"2018-04-24"  	"Action Adventure"     	"PC"
"THE ELDER SCROLLS ONLINE: SUMMERSET"	"The Elder Scrolls Online: Summerset is the next Chapter of ZeniMax Online Studios' award-winning online RPG."                                                                                                                       	"2018-03-21"  	"Massively Multiplayer"	"PC"
"THE FOREST"                         	"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants."                                                                         	"2018-04-30"  	"Horror"               	"PC"
"FAR CRY 5"                          	"Welcome to Hope County, Montana. This idyllic location is home to a community of freedom-loving people - and a fanatical doomsday cult known by many as The Project at Eden's Gate."                                                	"2018-03-27"  	"Action"               	"PC"
"DRAGON'S CROWN PRO"                 	"Dragon's Crown thrusts you into a fantastical medieval world packed with labyrinthine dungeons to explore, vile monstrosities to smite, and nearly endless online adventure."                                                       	"2018-05-15"  	"Action"               	"PS4"
"FAR: LONE SAILS"                    	"Traverse a dried-out seabed littered with the remains of a decaying civilization."                                                                                                                                                  	"2018-05-17"  	"Action"               	"PC"
"OUTLAST 2"                          	"Outlast 2 is the sequel to the acclaimed survival horror game Outlast. Set in the same universe as the first game, but with different characters and a different setting."                                                          	"2018-03-27"  	"Survival"             	"Switch"
"BATTLETECH"                         	"Assume command of your own mercenary outfit of 'Mechs and the MechWarriors that pilot them, struggling to stay afloat as you find yourself drawn into a brutal interstellar civil war."                                             	"2018-04-24"  	"Strategy"             	"PC"
